ID,outDate,inDate,type
1390,25/08/2017,01/09/2017,Beer
1391,01/09/2017,08/09/2017,Beer
1392,27/08/2017,03/09/2017,Beer
1394,27/08/2017,06/09/2017,Beer
1395,25/08/2017,01/09/2017,Beer
1397,27/08/2017,03/09/2017,Beer
1398,25/08/2017,02/09/2017,Orange
1399,27/08/2017,03/09/2017,Beer
1400,25/08/2017,01/09/2017,Orange
1404,27/08/2017,03/09/2017,Beer
1405,01/09/2017,08/09/2017,Beer
1406,25/08/2017,04/09/2017,Beer
1407,01/09/2017,07/09/2017,Beer
1409,25/08/2017,08/09/2017,Beer
1410,25/08/2017,08/09/2017,Beer
1411,25/08/2017,01/09/2017,Beer
1413,28/08/2017,04/09/2017,Orange
1414,25/08/2017,01/09/2017,Beer
1415,27/08/2017,03/09/2017,Beer
1416,30/08/2017,05/09/2017,Beer
1418,25/08/2017,01/09/2017,Beer
1419,28/08/2017,04/09/2017,Beer
1421,25/08/2017,01/09/2017,Beer
1424,26/08/2017,02/09/2017,Beer
1425,25/08/2017,08/09/2017,Orange
1426,26/08/2017,02/09/2017,Orange
1427,25/08/2017,01/09/2017,Beer
1428,27/08/2017,03/09/2017,Beer
1429,26/08/2017,02/09/2017,Orange
1432,26/08/2017,02/09/2017,Beer
1433,01/09/2017,08/09/2017,Beer
1434,01/09/2017,08/09/2017,Orange
1435,25/08/2017,01/09/2017,Orange
1437,25/08/2017,03/09/2017,Beer
1440,27/08/2017,03/09/2017,Beer
1442,25/08/2017,01/09/2017,Beer
1443,30/08/2017,06/09/2017,Beer
1450,29/08/2017,05/09/2017,Beer
1453,01/09/2017,08/09/2017,Beer
1454,25/08/2017,01/09/2017,Beer
1455,25/08/2017,01/09/2017,Beer
1456,25/08/2017,01/09/2017,Orange
1457,26/08/2017,02/09/2017,Beer
1460,25/08/2017,01/09/2017,Beer
1462,25/08/2017,01/09/2017,Beer
1465,29/08/2017,05/09/2017,Beer
1466,25/08/2017,01/09/2017,Beer
1467,28/08/2017,04/09/2017,Beer
1476,26/08/2017,02/09/2017,Orange
1478,25/08/2017,01/09/2017,Beer
1480,30/08/2017,05/09/2017,Beer
1482,25/08/2017,01/09/2017,Beer
1484,29/08/2017,05/09/2017,Beer
1488,25/08/2017,01/09/2017,Beer
1492,27/08/2017,03/09/2017,Beer
1493,26/08/2017,02/09/2017,Beer
1502,25/08/2017,01/09/2017,Beer
